,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93
date,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020
Atl1_20,NA,NA,NA,NA,NA,NA,NA,NA,12,22,6,44,115,77,113,39,151,179,145,60,50,20,51,1,30,33,40,19,30,49,9,8,9,45,13,11,25,15,0,3,4,3,4,7,6,1,8,1,2,0,1,1,1,10,2,5,2,0,0,0,7,0,2,0,1,5,0,1,1,1,0,0,0,6,0,0,0,52,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atl1_21,3,0,1,38,6,2,1,4,6,166,1,8,0,13,184,168,160,71,12,34,102,44,184,20,58,52,1,44,39,56,12,0,7,26,29,31,28,0,0,2,3,7,0,10,11,7,1,2,0,3,4,4,0,7,4,1,3,3,1,0,12,0,0,7,0,0,1,4,2,0,7,1,1,0,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atl1_22,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,17,0,0,0,1,0,0,0,1,0,3,0,74,3,128,28,13,459,3,4,13,8,1,10,1,5,17,6,4,27,77,1,6,0,3,0,1,0,2,0,0,0,0,0,0,21,0,0,2,0,30,43,14,6,9,4,15,2,1,0,0,0,7,12,1,0,2,1,1,2,5,1,2,0,2,NA,NA,NA,NA,NA,NA,NA
Atl3_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,232,125,300,77,160,56,238,180,136,62,112,125,571,62,139,265,76,51,38,37,42,50,50,28,19,47,26,32,15,34,11,48,84,9,34,10,3,44,0,1,5,63,0,1,22,1,27,4,8,5,4,0,0,3,6,0,1,2,1,0,0,1,1,2,2,0,2,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atl3_21,NA,11,10,68,54,37,166,16,24,34,110,83,31,117,93,154,91,73,39,131,388,372,215,306,103,373,37,146,197,132,92,26,89,130,165,62,99,29,3,31,85,56,89,13,41,15,15,27,33,45,64,5,19,32,12,23,119,145,8,21,112,67,10,53,37,4,72,83,2,4,14,3,5,79,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atl3_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,0,0,0,0,0,29,5,3,4,2,11,1,1,6,4,3,2,8,35,25,18,18,30,133,43,36,40,45,5,16,2,0,0,0,0,0,0,0,0,5,1,0,0,0,0,68,23,0,11,98,77,15,50,44,0,22,17,2,6,15,2,54,4,0,13,1,1,29,3,3,NA,NA,NA,NA,NA,NA,NA
DL1_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL1_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,17,12,26,0,19,34,52,27,47,44,41,5,3,32,32,25,0,14,23,53,7,3,3,5,7,6,29,17,41,10,11,57,16,1,13,8,5,19,3,1,13,35,23,27,13,7,24,20,27,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL1_22,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
