site,Elevation,Lat,Lon
Atl1,5886,48.5755,-113.46753
Atl2,5791,48.57638,-113.46016
Atl3,5666,48.57793,-113.4558
DL1,6619,48.42936,-113.29572
DL2,6597,48.43406,-113.29638
DL3,6316,48.43272,-113.29292
DryFork1,6030,48.51511,-113.41318
DryFork2,6194,48.51553,-113.41953
Fire1,6700,48.39875,-113.33842
Fire2,6043,48.39785,-113.31239
Fire3,6138,48.39282,-113.31327
Gab1,7123,48.91339,-113.63655
Gab2,7320,48.91608,-113.65382
Gab3,6847,48.92736,-113.65353
Kup1,6594,48.62463,-113.39169
Kup2,6470,48.62194,-113.38899
Kup3,6109,48.61752,-113.38506
Numa1,7073,48.88717,-114.17802
Numa2,6785,48.88336,-114.17836
Numa3,6467,48.88126,-114.18144
Oldman,6703,48.51168,-113.4547
Poia1,6467,48.84709,-113.60951
Poia2,6447,48.85864,-113.63501
Poia3,6253,48.8573,-113.61608
Scenic1,7116,48.48465,-113.31612
Scenic2,6207,48.48143,-113.34655
Siyeh1,7188,48.71708,-113.65874
Siyeh2,7254,48.7164,-113.65289
Siyeh3,7060,48.71304,-113.65683
Siyeh4,7123,48.71296,-113.64672
