site,cones,live.basal.area,total.standing.basal.area,mean_live_dbh,prop_infected,mean_rust_severity,prop_high_br,dougfir
Atl1_20,0,0.865901475,0.141371669,8.25,1,2.75,0,1
Atl1_21,4,0.865901475,0.141371669,8.25,1,2.75,0,1
Atl1_22,6,0.865901475,0.141371669,8.25,1,2.75,0,1
Atl2_20,10,6.424242817,3.183847074,26.44444444,0.888888889,5.555555556,0.222222222,1
Atl2_21,44,6.424242817,3.183847074,26.44444444,0.888888889,5.555555556,0.222222222,1
Atl2_22,74,6.424242817,3.183847074,26.44444444,0.888888889,5.555555556,0.222222222,1
Atl3_20,0,0.003848451,0.154173661,7,1,8,0,1
Atl3_21,0,0.003848451,0.154173661,7,1,8,0,1
Atl3_22,0,0.003848451,0.154173661,7,1,8,0,1
DL1_20,13,2.432849351,0.537919198,7.153846154,0.923076923,6.076923077,0.230769231,0
DL1_21,26,2.432849351,0.537919198,7.153846154,0.923076923,6.076923077,0.230769231,0
DL1_22,0,2.432849351,0.537919198,7.153846154,0.923076923,6.076923077,0.230769231,0
DL2_20,9,7.354154243,3.854262941,7.121212121,0.848484848,5.606060606,0.212121212,0
DL2_21,19,7.354154243,3.854262941,7.121212121,0.848484848,5.606060606,0.212121212,0
DL2_22,0,7.354154243,3.854262941,7.121212121,0.848484848,5.606060606,0.212121212,0
DL3_20,81,96.76890771,2.767114793,7.149606299,0.795275591,4.62992126,0.196850394,0
DL3_21,146,96.76890771,2.767114793,7.149606299,0.795275591,4.62992126,0.196850394,0
DL3_22,17,96.76890771,2.767114793,7.149606299,0.795275591,4.62992126,0.196850394,0
DryFork1_20,197,6.92791866,0.259417008,4.402985075,0.402985075,0.805970149,0.014925373,1
DryFork1_21,295,6.92791866,0.259417008,4.402985075,0.402985075,0.805970149,0.014925373,1
DryFork1_22,283,6.92791866,0.259417008,4.402985075,0.402985075,0.805970149,0.014925373,1
DryFork2_20,11,1.790786352,0.290597321,8.882352941,0.882352941,2.588235294,0.058823529,0
DryFork2_21,105,1.790786352,0.290597321,8.882352941,0.882352941,2.588235294,0.058823529,0
DryFork2_22,84,1.790786352,0.290597321,8.882352941,0.882352941,2.588235294,0.058823529,0
Fire1_20,0,0.013273229,0.134695785,6.5,1,4,0,0
Fire1_21,0,0.013273229,0.134695785,6.5,1,4,0,0
Fire1_22,0,0.013273229,0.134695785,6.5,1,4,0,0
Fire2_20,4,0.418538681,0.039505525,4.058823529,0.882352941,2.588235294,0,1
Fire2_21,78,0.418538681,0.039505525,4.058823529,0.882352941,2.588235294,0,1
Fire2_22,5,0.418538681,0.039505525,4.058823529,0.882352941,2.588235294,0,1
Fire3_20,12,0.237582944,0.038405969,4.363636364,0.636363636,1.454545455,0,1
Fire3_21,27,0.237582944,0.038405969,4.363636364,0.636363636,1.454545455,0,1
Fire3_22,1,0.237582944,0.038405969,4.363636364,0.636363636,1.454545455,0,1
Gab1_20,30,4.011499659,3.896831532,19.2,0.6,5.4,0.3,0
Gab1_21,95,4.011499659,3.896831532,19.2,0.6,5.4,0.3,0
Gab1_22,0,4.011499659,3.896831532,19.2,0.6,5.4,0.3,0
Gab2_20,56,6.6966189,3.212199946,3.909090909,0.75,2.590909091,0.068181818,0
Gab2_21,245,6.6966189,3.212199946,3.909090909,0.75,2.590909091,0.068181818,0
Gab2_22,6,6.6966189,3.212199946,3.909090909,0.75,2.590909091,0.068181818,0
Gab3_20,123,0.395919214,0.036678092,1.789473684,0.210526316,0.263157895,0,0
Gab3_21,214,0.395919214,0.036678092,1.789473684,0.210526316,0.263157895,0,0
Gab3_22,63,0.395919214,0.036678092,1.789473684,0.210526316,0.263157895,0,0
Kup1_20,124,45.96346402,3.565707668,15.875,0.775,3.975,0.125,0
Kup1_21,526,45.96346402,3.565707668,15.875,0.775,3.975,0.125,0
Kup1_22,75,45.96346402,3.565707668,15.875,0.775,3.975,0.125,0
Kup2_20,218,21.64753688,1.396437933,12.76315789,0.815789474,3.552631579,0.052631579,0
Kup2_21,457,21.64753688,1.396437933,12.76315789,0.815789474,3.552631579,0.052631579,0
Kup2_22,148,21.64753688,1.396437933,12.76315789,0.815789474,3.552631579,0.052631579,0
Kup3_20,80,4.337361357,6.506159854,15.41666667,1,8.916666667,0.5,1
Kup3_21,74,4.337361357,6.506159854,15.41666667,1,8.916666667,0.5,1
Kup3_22,17,4.337361357,6.506159854,15.41666667,1,8.916666667,0.5,1
Numa1_20,0,0.865901475,0.521818542,3.916666667,0.708333333,4.166666667,0.166666667,0
Numa1_21,7,0.865901475,0.521818542,3.916666667,0.708333333,4.166666667,0.166666667,0
Numa1_22,0,0.865901475,0.521818542,3.916666667,0.708333333,4.166666667,0.166666667,0
Numa2_20,0,14.25309171,0.607191317,3.741935484,0.537634409,2.279569892,0.096774194,0
Numa2_21,206,14.25309171,0.607191317,3.741935484,0.537634409,2.279569892,0.096774194,0
Numa2_22,19,14.25309171,0.607191317,3.741935484,0.537634409,2.279569892,0.096774194,0
Numa3_20,2,14.52201204,0.819484435,3.303571429,0.455357143,2.910714286,0.169642857,1
Numa3_21,13,14.52201204,0.819484435,3.303571429,0.455357143,2.910714286,0.169642857,1
Numa3_22,13,14.52201204,0.819484435,3.303571429,0.455357143,2.910714286,0.169642857,1
Oldman_20,320,149.3545349,6.022511657,29.58139535,0.813953488,5.837209302,0.23255814,0
Oldman_21,535,149.3545349,6.022511657,29.58139535,0.813953488,5.837209302,0.23255814,0
Oldman_22,325,149.3545349,6.022511657,29.58139535,0.813953488,5.837209302,0.23255814,0
Poia1_20,7,1.960667975,0.364267667,4.545454545,1,4.909090909,0.181818182,0
Poia1_21,0,1.960667975,0.364267667,4.545454545,1,4.909090909,0.181818182,0
